"model","sensitivity","specificity","accuracy","ntree","model.time","seed","train.sample","validate.sample"
"random forest","0.267605633802817","0.996887017029848","0.817993366500829","100","0.210000000000008","756",28941,7236
"random forest","0.268732394366197","0.997436366965757","0.818684355997789","200","0.393000000000001","757",28941,7236
"random forest","0.268732394366197","0.996887017029848","0.818269762299613","300","0.591999999999985","758",28941,7236
"random forest","0.268169014084507","0.996887017029848","0.818131564400221","400","0.766999999999996","759",28941,7236
